[cs-service][INFO] [2016-05-04 10:45:38] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing org.springframework.context.support.GenericApplicationContext@373246f3: startup date [Wed May 04 10:45:38 CST 2016]; root of context hierarchy
[cs-service][WARN] [2016-05-04 10:45:38] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 10:45:38] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 10:45:38] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMenuMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysRoleMenuMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 10:45:38] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 10:45:38] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserRoleMapper' and 'com.leweiyou.service.mybatis.dao.sys.SysUserRoleMapper' mapperInterface. Bean already defined with the same name!
[cs-service][WARN] [2016-05-04 10:45:38] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.leweiyou.service.mybatis.dao]' package. Please check your configuration.
[cs-service][INFO] [2016-05-04 10:45:38] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-mapper-itop/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-05-04 10:45:38] com.leweiyou.tools.log.Logger.info(69) | Load env.cfg from dev path: /E:/workspace/cs-mapper-itop/trunk/target/test-classes/../classes\env.cfg
[cs-service][INFO] [2016-05-04 10:45:38] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:38] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#1' of type [class org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:38] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.annotation.AnnotationCacheOperationSource#0' of type [class org.springframework.cache.annotation.AnnotationCacheOperationSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:39] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'org.springframework.cache.config.internalCacheAdvisor' of type [class org.springframework.cache.interceptor.BeanFactoryCacheOperationSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:39] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sharesession' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:39] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sessionManager' of type [class org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:39] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[cs-service][INFO] [2016-05-04 10:45:39] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'dataSource' of type [class com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:40] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sqlSessionFactory' of type [class org.mybatis.spring.SqlSessionFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:40] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sqlSessionFactory' of type [class org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:40] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'TUserCopyMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:40] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'TUserLoginMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:40] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysMenuMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[cs-service][INFO] [2016-05-04 10:45:40] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization(309) | Bean 'sysRoleMapper' of type [class org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
